order_id,order_date,customer_id,customer_segment,product,category,region,channel,quantity,unit_price,discount,cost,revenue,profit
ORD-100000,2024-01-01,CUST-00133,Corporate,Sony WH-1000XM5  ,Electronics,United States,Online,3,305.78,0.0,596.27,917.34,321.07
ORD-100001,2024-01-01,CUST-01268,Consumer,Sony WH-1000XM5,Electronics,Canada,Retail Store,3,323.94,0.0,631.69,971.83,340.14
ORD-100002,2024-01-01,CUST-00098,Consumer,AirPods Pro 2,Electronics,Japan,Online,2,240.77,0.15,288.93,409.32,120.39
ORD-100003,2024-01-01,CUST-00677,Consumer,Apple Watch Series 9,Sports,France,Online,2,409.15,0.0,597.36,818.3,220.94
ORD-100004,2024-01-01,CUST-01087,Consumer,AirPods Pro 2,Electronics,United States,Retail Store,1,225.73,0.25,135.44,169.3,33.86
ORD-100005,2024-01-01,CUST-01396,Small Business,MacBook Air M2,Electronics,Germany,Online,1,1209.44,0.0,943.37,1209.44,266.07
ORD-100006,2024-01-01,CUST-01053,Consumer,Sony WH-1000XM5,Electronics,United Arab Emirates,Online,1,319.38,0.0,207.6,319.38,111.78
ORD-100007,2024-01-01,CUST-01143,Consumer,Adidas Ultraboost,Fashion,United States,Retail Store,3,159.94,0.0,278.29,479.81,201.52
ORD-100008,2024-01-02,CUST-01144,Consumer,Nike Air Max 270,Fashion,,Retail Store,2,143.41,0.0,157.75,286.82,129.07
ORD-100009,2024-01-02,CUST-00633,Corporate,Wilson Tennis Racket,Sports,Japan,Online,1,201.47,0.0,124.91,201.47,76.56
ORD-100010,2024-01-02,CUST-00556,Consumer,Nike Air Max 270,Fashion,Germany,Online,1,146.71,0.1,80.69,132.04,51.35
ORD-100011,2024-01-02,CUST-01391,Corporate,Dior Sauvage 100ml,Beauty,United Kingdom,Retail Store,1,138.43,0.0,62.29,138.43,76.14
ORD-100012,2024-01-02,CUST-00679,Consumer,Dior Sauvage 100ml,Beauty,Germany,Retail Store,1,145.89,0.1,65.65,131.3,65.65
ORD-100013,2024-01-02,CUST-00823,Small Business,AirPods Pro 2,Electronics,United States,Marketplace,2,222.93,0.0,267.52,445.87,178.35
ORD-100014,2024-01-02,CUST-00349,Small Business,AirPods Pro 2,Electronics,Canada,Online,1,229.9,0.0,137.94,229.9,91.96
ORD-100015,2024-01-02,CUST-00112,Corporate,AirPods Pro 2,Electronics,Germany,Marketplace,1,226.69,0.0,136.02,226.69,90.67
ORD-100016,2024-01-02,CUST-00795,Corporate,MacBook Air M2,Electronics,Brazil,Retail Store,1,1166.95,0.0,910.22,1166.95,256.73
ORD-100017,2024-01-02,CUST-01376,Small Business,MacBook Air M2,Electronics,Germany,Retail Store,1,1218.29,0.0,950.27,1218.29,268.02
ORD-100018,2024-01-02,CUST-01236,Small Business,MacBook Air M2,Electronics,Australia,Online,1,1190.08,0.0,928.26,1190.08,261.82
ORD-100019,2024-01-02,CUST-01087,Small Business,MacBook Air M2,Electronics,Australia,Online,1,1138.67,0.1,888.16,1024.8,136.64
ORD-100020,2024-01-02,CUST-01131,Small Business,Samsung Galaxy S24,Electronics,France,Retail Store,1,956.8,0.1,708.03,861.12,153.09
ORD-100021,2024-01-02,CUST-00026,Corporate,Sony WH-1000XM5,Electronics,Japan,Retail Store,1,310.95,0.25,202.12,233.21,31.09
ORD-100022,2024-01-02,CUST-00198,Consumer,MacBook Air M2,Electronics,Pakistan,Online,1,1136.28,0.0,886.29,1136.28,249.99
ORD-100023,2024-01-02,CUST-01150,Consumer,Kindle Paperwhite,Others,Japan,Online,1,133.7,0.0,93.59,133.7,40.11
ORD-100024,2024-01-02,CUST-01363,Corporate,Sony WH-1000XM5,Electronics,United Kingdom,Online,1,323.01,0.0,209.96,323.01,113.05
ORD-100025,2024-01-02,CUST-00058,Consumer,iPhone 15 Pro Max,Electronics,Australia,Online,1,1062.28,0.0,764.84,1062.28,297.44
ORD-100026,2024-01-02,CUST-01214,Consumer,Dyson V15 Vacuum,Home & Kitchen,United States,Marketplace,1,610.09,0.0,427.06,610.09,183.03
ORD-100027,2024-01-02,CUST-00141,Consumer,IKEA Malm Desk,Home & Kitchen,Canada,Wholesale,2,135.6,0.0,162.71,271.19,108.48
ORD-100028,2024-01-02,CUST-00141,Consumer,Peloton Dumbbells,Sports,United States,Retail Store,4,92.58,0.1,240.7,333.28,92.58
ORD-100029,2024-01-03,CUST-00983,Corporate,MacBook Air M2,Electronics,United States,Online,1,1202.98,0.0,938.33,1202.98,264.65
ORD-100030,2024-01-03,CUST-00983,Corporate,Sony WH-1000XM5,Electronics,France,Online,4,323.25,0.0,840.45,1293.0,452.55
ORD-100031,2024-01-03,CUST-00215,Consumer,IKEA Malm Desk,Home & Kitchen,Japan,Marketplace,1,131.86,0.05,79.12,125.27,46.15
ORD-100032,2024-01-03,CUST-01351,Corporate,Zara Wool Coat,Fashion,Canada,Online,3,192.28,0.1,299.96,519.16,219.2
ORD-100033,2024-01-03,CUST-01064,Consumer,Zara Wool Coat,Fashion,United States,Online,5,185.7,0.0,482.82,928.5,445.68
ORD-100034,2024-01-03,CUST-00277,Corporate,Peloton Dumbbells,Sports,United Kingdom,Online,3,94.71,0.0,184.69,284.14,99.45
ORD-100035,2024-01-03,CUST-00551,Consumer,Lego Millennium Falcon,Others,Brazil,Retail Store,2,169.12,0.0,230.0,338.24,108.24
ORD-100036,2024-01-03,CUST-00992,Consumer,iPhone 15 Pro Max,Electronics,Germany,Retail Store,2,1105.35,0.15,1591.7,1879.09,287.39
ORD-100037,2024-01-03,CUST-01285,Consumer,Sony WH-1000XM5,Electronics,Australia,Online,2,306.23,0.0,398.1,612.46,214.36
ORD-100038,2024-01-03,CUST-01155,Consumer,Peloton Dumbbells,Sports,India,Online,1,94.59,0.25,61.48,70.94,9.46
ORD-100039,2024-01-03,CUST-01301,Consumer,iPhone 15 Pro Max,Electronics,Japan,Marketplace,1,1127.36,0.0,811.7,1127.36,315.66
ORD-100040,2024-01-03,CUST-00132,Consumer,Sony WH-1000XM5,Electronics,France,Retail Store,1,336.41,0.25,218.66,252.3,33.64
ORD-100041,2024-01-03,CUST-00208,Small Business,Dior Sauvage 100ml,Beauty,United States,Marketplace,2,150.11,0.0,135.1,300.21,165.11
